h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
0.01000000,1.00000000,0.53982784,0.54970030,0.53982784,0.00987247,0.00000000,0.01984763,0.01984411,0.03969343,0.01984411,0.00000351,0.01984581,0.00000351
0.00010000,0.01000000,0.53982784,0.53992707,0.53982784,0.00009923,0.00000000,0.01984763,0.01984763,0.03969525,0.01984763,0.00000000,0.01984763,0.00000000
0.00000100,0.00010000,0.53982784,0.53982883,0.53982784,0.00000099,0.00000000,0.01984763,0.01984617,0.03969660,0.01984763,0.00000146,0.01984897,0.00000000
0.00000001,0.00000100,0.53982784,0.53982784,0.53982784,0.00000000,0.00000000,0.01984763,0.00000000,0.04263256,0.01984763,0.01984763,0.02278494,0.00000000
